word,frequency,year
boer,0.00011200834678774297,1900
capt,0.00018688685486131692,1900
gould,0.0001223221908750121,1900
jerome,0.00015202606184634723,1900
odell,0.00014604403227573115,1900
pittsburg,0.00022958616938261123,1900
platt,0.00011138951614250679,1900
thaw,0.00011860920700359522,1900
trolley,0.00011902176076708596,1900
vanderbilt,0.00014583775539398576,1900
boer,6.507770573872958e-06,1910
capt,8.164293992676983e-05,1910
gould,3.608854590965913e-05,1910
jerome,8.085411925114886e-06,1910
odell,5.324539560441512e-06,1910
pittsburg,2.8003133984544243e-05,1910
platt,6.90218091168344e-06,1910
thaw,5.2653780097699375e-05,1910
trolley,3.1750032193743825e-05,1910
vanderbilt,3.7468982091995815e-05,1910
boer,1.71083442356257e-07,1920
capt,1.0436089983731676e-05,1920
gould,3.30191043747576e-05,1920
jerome,7.185504578962793e-06,1920
pittsburg,3.42166884712514e-07,1920
platt,6.84333769425028e-07,1920
thaw,8.554172117812849e-06,1920
trolley,2.480709914165726e-05,1920
vanderbilt,4.0033525511364135e-05,1920
boer,5.070361405220243e-07,1930
capt,3.718265030494844e-06,1930
gould,5.4083854989015915e-06,1930
jerome,1.3520963747253977e-06,1930
odell,1.690120468406747e-07,1930
pittsburg,1.690120468406747e-07,1930
platt,6.760481873626988e-07,1930
thaw,3.549252983654169e-06,1930
trolley,8.450602342033736e-06,1930
vanderbilt,1.4366023981457351e-05,1930
capt,7.690893751071918e-06,1940
gould,1.7304510939911816e-06,1940
jerome,9.613617188839895e-07,1940
odell,1.92272343776798e-07,1940
pittsburg,1.92272343776798e-07,1940
platt,1.92272343776798e-07,1940
thaw,2.8840851566519697e-06,1940
trolley,1.038270656394709e-05,1940
vanderbilt,2.3072681253215754e-06,1940
capt,1.137898818821788e-05,1950
gould,3.9237890304199596e-07,1950
jerome,7.847578060839919e-07,1950
thaw,2.1580839667309774e-06,1950
trolley,4.512357384982953e-06,1950
vanderbilt,5.100925739545947e-06,1950
capt,9.199445440702569e-06,1960
gould,1.6726264437641037e-06,1960
jerome,2.2998613601756427e-06,1960
thaw,4.3906444148807714e-06,1960
trolley,6.272349164115388e-07,1960
vanderbilt,2.0907830547051296e-06,1960
boer,2.3385904847430358e-07,1970
capt,7.015771454229108e-06,1970
gould,4.6771809694860706e-07,1970
jerome,3.7417447755888565e-06,1970
pittsburg,2.3385904847430358e-07,1970
thaw,5.8464762118575896e-06,1970
trolley,4.6771809694860706e-07,1970
vanderbilt,2.338590484743036e-06,1970
