word,frequency,year
boer,1.71083442356257e-07,1920
briand,0.00011017773687742949,1920
byrnes,1.368667538850056e-06,1920
capt,1.0436089983731676e-05,1920
carey,3.5927522894813965e-06,1920
carranza,1.745051112033821e-05,1920
carter,1.300234161907553e-05,1920
carter s,1.026500654137542e-06,1920
congo,1.5397509812063127e-06,1920
coolidge,0.0006531965829161893,1920
dawes,0.0001069271514726606,1920
dulles,6.84333769425028e-07,1920
gould,3.30191043747576e-05,1920
governor lehman,3.42166884712514e-07,1920
governor smith,0.00016526660531614423,1920
harding,0.0004075207596926041,1920
hitler,3.4216688471251393e-06,1920
huerta,8.212005233100335e-06,1920
hylan,0.0002665480031910484,1920
jerome,7.185504578962793e-06,1920
kellogg,0.00011377048916691089,1920
koch,1.7108344235625697e-06,1920
korea,5.13250327068771e-07,1920
korean,1.5397509812063127e-06,1920
lansing,8.725255560169105e-06,1920
lehman,1.0265006541375418e-05,1920
mayor o,1.197584096493799e-06,1920
mellon,0.00013772217109678686,1920
new deal,4.448169501262681e-06,1920
palestine,1.1975840964937986e-05,1920
palestinian,3.42166884712514e-07,1920
petrograd,5.132503270687709e-06,1920
pittsburg,3.42166884712514e-07,1920
platt,6.84333769425028e-07,1920
pres,3.42166884712514e-07,1920
president carter,1.71083442356257e-07,1920
president coolidge,0.00019862787657561436,1920
president ford,6.84333769425028e-07,1920
president hoover,3.472993879832017e-05,1920
president johnson,6.84333769425028e-07,1920
president wilson,3.319018781711385e-05,1920
red army,5.987920482468993e-06,1920
reich,3.404560502889514e-05,1920
reparation,0.00017005694170211944,1920
seabury,8.554172117812848e-07,1920
stevenson,2.737335077700112e-06,1920
teuton,2.9084185200563686e-06,1920
thaw,8.554172117812849e-06,1920
trench,3.2505854047688826e-06,1920
trolley,2.480709914165726e-05,1920
vanderbilt,4.0033525511364135e-05,1920
villa,1.077825686844419e-05,1920
whitman,1.693726079326944e-05,1920
wilson s,3.336127125947011e-05,1920
axis,2.0627688174538296e-07,1900
boer,0.00011200834678774297,1900
briand,2.887876344435361e-06,1900
byrnes,1.6502150539630637e-06,1900
capt,0.00018688685486131692,1900
carey,2.6815994626899785e-06,1900
carter,2.702227150864517e-05,1900
carter s,3.712983871416893e-06,1900
congo,5.775752688870722e-06,1900
coolidge,2.062768817453829e-06,1900
dawes,4.3318145166530415e-06,1900
formosa,1.856491935708446e-06,1900
gould,0.0001223221908750121,1900
harding,2.062768817453829e-06,1900
jerome,0.00015202606184634723,1900
kellogg,7.2196908610884034e-06,1900
kennedy s,6.18830645236149e-07,1900
koch,3.5067069896715104e-06,1900
korea,3.0322701616571287e-05,1900
korean,1.2170336022977596e-05,1900
lansing,1.2376612904722977e-06,1900
lehman,6.18830645236149e-07,1900
mellon,6.18830645236149e-07,1900
new deal,1.443938172217681e-06,1900
o dwyer,2.0627688174538296e-07,1900
odell,0.00014604403227573115,1900
palestine,1.856491935708446e-06,1900
pittsburg,0.00022958616938261123,1900
platt,0.00011138951614250679,1900
pres,2.0627688174538296e-07,1900
president carter,2.0627688174538296e-07,1900
president johnson,2.0627688174538296e-07,1900
president roosevelt s,3.052897849831668e-05,1900
president wilson,1.2376612904722977e-06,1900
red army,6.18830645236149e-07,1900
reparation,1.443938172217681e-06,1900
rusk,2.0627688174538296e-07,1900
seabury,2.2690456991992125e-06,1900
stevenson,6.600860215852255e-06,1900
teuton,4.1255376349076593e-07,1900
thaw,0.00011860920700359522,1900
trench,3.5067069896715104e-06,1900
trolley,0.00011902176076708596,1900
vanderbilt,0.00014583775539398576,1900
villa,6.807137097597637e-06,1900
whitman,5.363198925379957e-06,1900
wilson s,4.125537634907658e-06,1900
axis,0.00025995220878623085,1940
byrnes,0.0001411279003321697,1940
capt,7.690893751071918e-06,1940
carey,6.921804375964726e-06,1940
carter,9.613617188839895e-07,1940
cio,0.00014324289611371448,1940
congo,1.3459064064375857e-06,1940
coolidge,2.499540469098373e-06,1940
dulles,3.5378111254930825e-05,1940
eisenhower,0.00010555751673346208,1940
eisenhower s,6.7295320321879285e-06,1940
formosa,1.6150876877251033e-05,1940
gould,1.7304510939911816e-06,1940
governor lehman,1.5574059845920635e-05,1940
harding,1.3459064064375857e-06,1940
hitler,0.00018400463299439562,1940
impellitteri,4.0377192193127574e-06,1940
jerome,9.613617188839895e-07,1940
kellogg,1.92272343776798e-07,1940
kennedy s,7.690893751071919e-07,1940
koch,5.768170313303939e-07,1940
korea,4.0184919849350776e-05,1940
korean,1.4612698127036646e-05,1940
lansing,9.613617188839895e-07,1940
lehman,7.921620563604076e-05,1940
mayor o,0.00010151979751414931,1940
mayor o dwyer,0.00010132752517037252,1940
mellon,5.768170313303939e-07,1940
new deal,4.5568545475101125e-05,1940
nra,3.84544687553596e-07,1940
o dwyer,0.00020957685471670976,1940
odell,1.92272343776798e-07,1940
opa,0.0001511260622085632,1940
palestine,0.00025533767253558767,1940
palestinian,4.806808594419949e-06,1940
pittsburg,1.92272343776798e-07,1940
platt,1.92272343776798e-07,1940
pres,1.92272343776798e-07,1940
president coolidge,9.613617188839895e-07,1940
president ford,2.3072681253215754e-06,1940
president hoover,2.6918128128751715e-06,1940
president kennedy,1.92272343776798e-07,1940
president roosevelt s,4.8452630631753086e-05,1940
president wilson,5.768170313303939e-07,1940
red army,0.0002745649069132675,1940
reich,0.0002168832037802281,1940
reparation,3.3070843129609254e-05,1940
seabury,3.845446875535959e-06,1940
teuton,1.92272343776798e-07,1940
thaw,2.8840851566519697e-06,1940
trench,3.268629844205565e-06,1940
trolley,1.038270656394709e-05,1940
vanderbilt,2.3072681253215754e-06,1940
villa,3.0763575004287675e-06,1940
whitman,9.613617188839895e-07,1940
willkie,0.00013882063220684813,1940
wilson s,1.92272343776798e-06,1940
wpa,1.0574978907723887e-05,1940
axis,2.0907830547051296e-06,1960
byrnes,2.5089396656461557e-06,1960
capt,9.199445440702569e-06,1960
carey,7.3177406914679516e-06,1960
carter,2.2998613601756427e-06,1960
carter s,2.0907830547051297e-07,1960
cio,2.0907830547051297e-07,1960
conf,0.00010662993578996159,1960
congo,0.00030086368157206816,1960
coolidge,4.1815661094102594e-07,1960
dulles,9.408523746173083e-06,1960
eisenhower,0.00026176603844908216,1960
eisenhower s,1.7980734270464114e-05,1960
gould,1.6726264437641037e-06,1960
harding,1.2544698328230776e-06,1960
hitler,4.8088010258217975e-06,1960
illus,0.00012126541717289752,1960
impellitteri,8.363132218820519e-07,1960
jerome,2.2998613601756427e-06,1960
katanga,0.00012670145311513084,1960
kennedy s,0.00011854739920178083,1960
kissinger,3.1361745820576944e-06,1960
koch,3.972487803939746e-06,1960
korea,6.815952758338722e-05,1960
korean,4.0770269566750016e-05,1960
korean war,7.3177406914679516e-06,1960
lansing,1.6726264437641037e-06,1960
lehman,2.1744143768933347e-05,1960
mayor o,8.363132218820519e-07,1960
mayor o dwyer,2.0907830547051297e-07,1960
mellon,1.0453915273525648e-06,1960
new deal,2.2998613601756427e-06,1960
o dwyer,1.12902284954077e-05,1960
palestine,5.0178793312923114e-06,1960
palestinian,6.272349164115389e-06,1960
pres,0.00010433007442978596,1960
president eisenhower,7.505911166391415e-05,1960
president ford,2.0907830547051296e-06,1960
president johnson,0.0003131993015948284,1960
president kennedy,0.00030420893445959633,1960
president wilson,2.0907830547051297e-07,1960
red army,2.0907830547051297e-07,1960
reparation,4.8088010258217975e-06,1960
rusk,0.00022371378685344888,1960
stevenson,7.150478047091543e-05,1960
thant,0.00015367255452082706,1960
thaw,4.3906444148807714e-06,1960
