word,frequency,year
trench,1.8817047492346168e-06,1960
trolley,6.272349164115388e-07,1960
vanderbilt,2.0907830547051296e-06,1960
villa,2.927096276587181e-06,1960
whitman,8.363132218820519e-07,1960
wilson s,4.5997227203512845e-06,1960
axis,1.9720516890524113e-07,1910
boer,6.507770573872958e-06,1910
briand,9.268642938546334e-06,1910
byrnes,5.916155067157235e-07,1910
capt,8.164293992676983e-05,1910
carey,3.3524878713890997e-06,1910
carranza,0.00015559487826623527,1910
carter,1.4593182498987845e-05,1910
carter s,9.860258445262058e-07,1910
congo,1.577641351241929e-06,1910
coolidge,3.3524878713890997e-06,1910
dawes,1.9720516890524113e-07,1910
formosa,7.888206756209645e-07,1910
gould,3.608854590965913e-05,1910
governor smith,4.9301292226310285e-06,1910
harding,8.282617094020128e-06,1910
huerta,0.00011280135661379792,1910
hylan,5.206216459098366e-05,1910
jerome,8.085411925114886e-06,1910
kellogg,3.944103378104823e-06,1910
kennedy s,5.916155067157235e-07,1910
kissinger,1.9720516890524113e-07,1910
koch,1.183231013431447e-06,1910
korea,2.958077533578617e-06,1910
korean,1.7748465201471702e-06,1910
lansing,0.00011240694627598745,1910
lehman,1.9720516890524113e-07,1910
mayor o,1.9720516890524113e-07,1910
mellon,3.746898209199582e-06,1910
new deal,1.380436182336688e-06,1910
o dwyer,7.888206756209645e-07,1910
odell,5.324539560441512e-06,1910
palestine,6.310565404967716e-06,1910
petrograd,0.00014731226117221512,1910
pittsburg,2.8003133984544243e-05,1910
platt,6.90218091168344e-06,1910
pres,5.916155067157235e-07,1910
president carter,1.9720516890524113e-07,1910
president ford,5.916155067157235e-07,1910
president johnson,1.9720516890524113e-07,1910
president roosevelt s,1.9720516890524113e-07,1910
president wilson,0.0003275577855516056,1910
red army,3.5496930402943404e-06,1910
reich,9.860258445262058e-07,1910
reparation,2.7805928815639e-05,1910
seabury,1.202951530321971e-05,1910
stevenson,4.535718884820546e-06,1910
teuton,0.0001289721804640277,1910
thaw,5.2653780097699375e-05,1910
trench,0.0001068852015466407,1910
trolley,3.1750032193743825e-05,1910
vanderbilt,3.7468982091995815e-05,1910
villa,0.00014770667151002562,1910
whitman,0.00013784641306476355,1910
wilson s,0.00020430455498582982,1910
axis,1.7408240824589495e-05,1930
boer,5.070361405220243e-07,1930
briand,4.47881924127788e-05,1930
byrnes,1.2506891466209927e-05,1930
capt,3.718265030494844e-06,1930
carey,3.042216843132145e-06,1930
carranza,5.070361405220243e-07,1930
carter,5.239373452060916e-06,1930
cio,5.070361405220243e-07,1930
congo,1.690120468406747e-07,1930
coolidge,2.839402386923335e-05,1930
dawes,2.3492674510853785e-05,1930
dulles,2.028144562088097e-06,1930
formosa,2.7041927494507957e-06,1930
gould,5.4083854989015915e-06,1930
governor lehman,0.00011239301114904868,1930
governor smith,6.760481873626989e-06,1930
harding,7.267518014149012e-06,1930
hitler,0.00030286958793848906,1930
hylan,7.605542107830362e-06,1930
jerome,1.3520963747253977e-06,1930
kellogg,1.656318059038612e-05,1930
kennedy s,5.070361405220243e-07,1930
koch,2.366168655769446e-06,1930
korea,2.366168655769446e-06,1930
korean,3.2112288899728194e-06,1930
lansing,3.887277077335518e-06,1930
lehman,0.0003324466961356072,1930
mayor o,1.3520963747253976e-05,1930
mellon,5.188669838008714e-05,1930
new deal,0.00014011098683091935,1930
nra,0.00013605469770674314,1930
o dwyer,1.183084327884723e-06,1930
odell,1.690120468406747e-07,1930
palestine,2.9915132290799426e-05,1930
palestinian,5.070361405220243e-07,1930
pittsburg,1.690120468406747e-07,1930
platt,6.760481873626988e-07,1930
pres,1.690120468406747e-07,1930
president coolidge,1.8591325152474217e-06,1930
president hoover,0.00014720949279822766,1930
president johnson,6.760481873626988e-07,1930
president roosevelt s,0.00011137893886800464,1930
president wilson,3.2112288899728194e-06,1930
red army,1.149281918516588e-05,1930
reich,0.0003452916116954984,1930
reparation,5.222472247376849e-05,1930
rusk,1.690120468406747e-07,1930
seabury,0.00017357537210537294,1930
stevenson,1.3520963747253977e-06,1930
teuton,3.380240936813494e-07,1930
thaw,3.549252983654169e-06,1930
trench,4.732337311538892e-06,1930
trolley,8.450602342033736e-06,1930
vanderbilt,1.4366023981457351e-05,1930
villa,5.915421639423615e-06,1930
whitman,3.2112288899728194e-06,1930
willkie,4.056289124176193e-06,1930
wilson s,3.549252983654169e-06,1930
wpa,0.0001375758061283092,1930
axis,2.3385904847430358e-07,1970
boer,2.3385904847430358e-07,1970
byrnes,1.1692952423715178e-06,1970
capt,7.015771454229108e-06,1970
carey,0.00026075283904884847,1970
carter,0.0009613945482778619,1970
carter s,0.00010663972610428243,1970
congo,2.1047314362687323e-06,1970
dulles,1.4031542908458214e-06,1970
eisenhower,7.483489551177713e-06,1970
eisenhower s,4.6771809694860706e-07,1970
formosa,2.3385904847430358e-07,1970
gould,4.6771809694860706e-07,1970
governor smith,2.3385904847430358e-07,1970
harding,9.354361938972141e-07,1970
hitler,2.8063085816916433e-06,1970
jerome,3.7417447755888565e-06,1970
katanga,4.6771809694860706e-07,1970
kellogg,2.3385904847430358e-07,1970
kennedy s,4.677180969486071e-06,1970
kissinger,0.00033605545265757416,1970
koch,0.0001370414024059419,1970
korea,7.132700978466259e-05,1970
korean,5.98679164094217e-05,1970
korean war,3.27402667864025e-06,1970
lehman,1.8708723877944282e-06,1970
mayor o,2.3385904847430358e-07,1970
mayor o dwyer,2.3385904847430358e-07,1970
mellon,2.572449533217339e-06,1970
new deal,1.637013339320125e-06,1970
o dwyer,6.5480533572805e-06,1970
palestine,2.8764662962339338e-05,1970
palestinian,0.00014125086527847936,1970
pittsburg,2.3385904847430358e-07,1970
pres,1.4031542908458214e-06,1970
president carter,0.0001898935473611345,1970
president eisenhower,4.6771809694860706e-07,1970
president ford,0.00021819049222652524,1970
president johnson,2.1047314362687323e-06,1970
president kennedy,7.015771454229108e-06,1970
red army,1.637013339320125e-06,1970
reparation,4.6771809694860706e-07,1970
rusk,1.637013339320125e-06,1970
sadat,0.0001103814708798713,1970
seabury,2.3385904847430358e-07,1970
stevenson,2.338590484743036e-06,1970
thant,1.4265401956932516e-05,1970
thaw,5.8464762118575896e-06,1970
trench,1.4031542908458214e-06,1970
trolley,4.6771809694860706e-07,1970
vanderbilt,2.338590484743036e-06,1970
villa,3.7417447755888565e-06,1970
watergate,0.0002862434753325476,1970
whitman,7.015771454229107e-07,1970
willkie,2.3385904847430358e-07,1970
wilson s,4.2094628725374645e-06,1970
axis,1.5695156121679838e-06,1950
byrnes,8.043767512360916e-06,1950
capt,1.137898818821788e-05,1950
carey,1.5695156121679838e-06,1950
carter,2.3542734182519758e-06,1950
cio,1.7657050636889816e-06,1950
congo,3.335220675856965e-06,1950
coolidge,1.5695156121679838e-06,1950
dawes,3.9237890304199596e-07,1950
dulles,0.0004761517988414621,1950
eisenhower,0.0015610794657525808,1950
eisenhower s,0.00013635166880709358,1950
formosa,0.00010613849327285992,1950
gould,3.9237890304199596e-07,1950
harding,3.5314101273779632e-06,1950
hitler,9.809472576049896e-06,1950
impellitteri,0.00010044899917875097,1950
jerome,7.847578060839919e-07,1950
kellogg,1.9618945152099798e-07,1950
kennedy s,1.3733261606469857e-06,1950
koch,5.885683545629938e-07,1950
korea,0.0006538994419194862,1950
korean,0.000480860345677966,1950
korean war,0.0001053537354667759,1950
lansing,3.9237890304199596e-07,1950
lehman,2.9820796631191686e-05,1950
mayor o,1.92265662490578e-05,1950
mayor o dwyer,1.8637997894494807e-05,1950
mellon,1.96189451520998e-06,1950
new deal,6.0818729971509365e-06,1950
o dwyer,6.552727680801332e-05,1950
palestine,1.628372447624283e-05,1950
palestinian,9.8094725760499e-07,1950
pres,9.8094725760499e-07,1950
president coolidge,1.9618945152099798e-07,1950
president eisenhower,0.0005544313899983402,1950
president ford,7.847578060839919e-07,1950
president hoover,1.1771367091259877e-06,1950
president johnson,7.847578060839919e-07,1950
president roosevelt s,3.9237890304199596e-07,1950
president wilson,3.9237890304199596e-07,1950
red army,2.7466523212939717e-06,1950
reich,1.5695156121679838e-06,1950
reparation,5.4933046425879435e-06,1950
rusk,2.3542734182519758e-06,1950
seabury,1.1771367091259877e-06,1950
stevenson,0.0002717223903565822,1950
thaw,2.1580839667309774e-06,1950
trench,2.3542734182519758e-06,1950
trolley,4.512357384982953e-06,1950
vanderbilt,5.100925739545947e-06,1950
villa,3.92378903041996e-06,1950
whitman,1.9618945152099798e-07,1950
willkie,3.9237890304199596e-07,1950
wilson s,2.1580839667309774e-06,1950
