rank,word,overindex,year
0,odell,8.132021229095281,1900
1,boer,7.911456255270161,1900
2,platt,7.827330045941054,1900
3,pittsburg,7.47751603648048,1900
4,jerome,7.220819338163145,1900
5,thaw,4.941563131090442,1900
6,gould,4.91175313993973,1900
7,capt,4.869455187098877,1900
8,trolley,4.812187102573737,1900
9,vanderbilt,4.697672318170403,1900
0,teuton,7.829454824595227,1910
1,petrograd,7.780366464142059,1910
2,huerta,7.466289227424004,1910
3,carranza,7.142330697797427,1910
4,president wilson,7.127355386567372,1910
5,lansing,6.936712269235089,1910
6,trench,6.748175987045624,1910
7,whitman,6.608515018178988,1910
8,villa,6.407537425581321,1910
9,wilson s,6.289702097586005,1910
0,president coolidge,6.919537791973548,1920
1,harding,6.657516913175622,1920
2,coolidge,6.641633748317555,1920
3,governor smith,6.571849140426853,1920
4,hylan,5.858862310263008,1920
5,kellogg,5.686809032175756,1920
6,dawes,5.568573498406901,1920
7,mellon,4.859664884580475,1920
8,briand,4.661270318158428,1920
9,reparation,4.163921433168659,1920
0,nra,6.918663097594665,1930
1,wpa,6.4968743275754095,1930
2,seabury,6.298072798757088,1930
3,governor lehman,6.166232345699779,1930
4,president hoover,5.522054271531897,1930
5,lehman,5.039830631220988,1930
6,new deal,4.97820049827122,1930
7,hitler,4.3549570295185305,1930
8,president roosevelt s,4.303885763321415,1930
9,reich,4.188574133975474,1930
0,opa,7.890399572693944,1940
1,cio,7.755076097172807,1940
2,willkie,7.6059659432376865,1940
3,axis,7.227520475800956,1940
4,red army,7.158507363282688,1940
5,mayor o dwyer,6.663847075015556,1940
6,byrnes,6.54412800718345,1940
7,mayor o,5.794340715413631,1940
8,palestine,5.6763004509954245,1940
9,o dwyer,5.665701932962054,1940
0,impellitteri,7.676327668765166,1950
1,korean war,7.377929465904108,1950
2,dulles,7.296541097581837,1950
3,president eisenhower,7.139173283104825,1950
4,eisenhower s,6.84052335846336,1950
5,formosa,6.649879786935381,1950
6,eisenhower,6.543716799431754,1950
7,korean,6.419441971327702,1950
8,korea,6.166010447978721,1950
9,stevenson,6.140330656755217,1950
0,illus,8.580076259221139,1960
1,conf,8.580076259221135,1960
2,katanga,8.55185232415791,1960
3,president johnson,8.450331516313781,1960
4,rusk,8.414923553956571,1960
5,president kennedy,8.401084089614237,1960
6,pres,8.265363037357812,1960
7,congo,8.133550551396059,1960
8,kennedy s,8.014667609519577,1960
9,thant,7.922557852421529,1960
0,sadat,9.597018998709098,1970
1,watergate,9.597018998709098,1970
2,president carter,9.561692548407102,1970
3,kissinger,9.49133950526151,1970
4,president ford,9.269170523597918,1970
5,carter s,9.00461041854187,1970
6,carter,8.863928354008783,1970
7,palestinian,8.664573206607319,1970
8,koch,8.546889260248527,1970
9,carey,8.472427698781193,1970
