frequency,word,year
1.71083442356257e-07,boer,1920
0.00011017773687742949,briand,1920
1.368667538850056e-06,byrnes,1920
1.0436089983731676e-05,capt,1920
3.5927522894813965e-06,carey,1920
1.745051112033821e-05,carranza,1920
1.300234161907553e-05,carter,1920
1.026500654137542e-06,carter s,1920
1.5397509812063127e-06,congo,1920
0.0006531965829161893,coolidge,1920
0.0001069271514726606,dawes,1920
6.84333769425028e-07,dulles,1920
3.30191043747576e-05,gould,1920
3.42166884712514e-07,governor lehman,1920
0.00016526660531614423,governor smith,1920
0.0004075207596926041,harding,1920
3.4216688471251393e-06,hitler,1920
8.212005233100335e-06,huerta,1920
0.0002665480031910484,hylan,1920
7.185504578962793e-06,jerome,1920
0.00011377048916691089,kellogg,1920
1.7108344235625697e-06,koch,1920
5.13250327068771e-07,korea,1920
1.5397509812063127e-06,korean,1920
8.725255560169105e-06,lansing,1920
1.0265006541375418e-05,lehman,1920
1.197584096493799e-06,mayor o,1920
0.00013772217109678686,mellon,1920
4.448169501262681e-06,new deal,1920
1.1975840964937986e-05,palestine,1920
3.42166884712514e-07,palestinian,1920
5.132503270687709e-06,petrograd,1920
3.42166884712514e-07,pittsburg,1920
6.84333769425028e-07,platt,1920
3.42166884712514e-07,pres,1920
1.71083442356257e-07,president carter,1920
0.00019862787657561436,president coolidge,1920
6.84333769425028e-07,president ford,1920
3.472993879832017e-05,president hoover,1920
6.84333769425028e-07,president johnson,1920
3.319018781711385e-05,president wilson,1920
5.987920482468993e-06,red army,1920
3.404560502889514e-05,reich,1920
0.00017005694170211944,reparation,1920
8.554172117812848e-07,seabury,1920
2.737335077700112e-06,stevenson,1920
2.9084185200563686e-06,teuton,1920
8.554172117812849e-06,thaw,1920
3.2505854047688826e-06,trench,1920
2.480709914165726e-05,trolley,1920
4.0033525511364135e-05,vanderbilt,1920
1.077825686844419e-05,villa,1920
1.693726079326944e-05,whitman,1920
3.336127125947011e-05,wilson s,1920
2.0627688174538296e-07,axis,1900
0.00011200834678774297,boer,1900
2.887876344435361e-06,briand,1900
1.6502150539630637e-06,byrnes,1900
0.00018688685486131692,capt,1900
2.6815994626899785e-06,carey,1900
2.702227150864517e-05,carter,1900
3.712983871416893e-06,carter s,1900
5.775752688870722e-06,congo,1900
2.062768817453829e-06,coolidge,1900
4.3318145166530415e-06,dawes,1900
1.856491935708446e-06,formosa,1900
0.0001223221908750121,gould,1900
2.062768817453829e-06,harding,1900
0.00015202606184634723,jerome,1900
7.2196908610884034e-06,kellogg,1900
6.18830645236149e-07,kennedy s,1900
3.5067069896715104e-06,koch,1900
3.0322701616571287e-05,korea,1900
1.2170336022977596e-05,korean,1900
1.2376612904722977e-06,lansing,1900
6.18830645236149e-07,lehman,1900
6.18830645236149e-07,mellon,1900
1.443938172217681e-06,new deal,1900
2.0627688174538296e-07,o dwyer,1900
0.00014604403227573115,odell,1900
1.856491935708446e-06,palestine,1900
0.00022958616938261123,pittsburg,1900
0.00011138951614250679,platt,1900
2.0627688174538296e-07,pres,1900
2.0627688174538296e-07,president carter,1900
2.0627688174538296e-07,president johnson,1900
3.052897849831668e-05,president roosevelt s,1900
1.2376612904722977e-06,president wilson,1900
6.18830645236149e-07,red army,1900
1.443938172217681e-06,reparation,1900
2.0627688174538296e-07,rusk,1900
2.2690456991992125e-06,seabury,1900
6.600860215852255e-06,stevenson,1900
4.1255376349076593e-07,teuton,1900
0.00011860920700359522,thaw,1900
3.5067069896715104e-06,trench,1900
0.00011902176076708596,trolley,1900
0.00014583775539398576,vanderbilt,1900
6.807137097597637e-06,villa,1900
5.363198925379957e-06,whitman,1900
4.125537634907658e-06,wilson s,1900
0.00025995220878623085,axis,1940
0.0001411279003321697,byrnes,1940
7.690893751071918e-06,capt,1940
6.921804375964726e-06,carey,1940
9.613617188839895e-07,carter,1940
0.00014324289611371448,cio,1940
1.3459064064375857e-06,congo,1940
2.499540469098373e-06,coolidge,1940
3.5378111254930825e-05,dulles,1940
0.00010555751673346208,eisenhower,1940
6.7295320321879285e-06,eisenhower s,1940
1.6150876877251033e-05,formosa,1940
1.7304510939911816e-06,gould,1940
1.5574059845920635e-05,governor lehman,1940
1.3459064064375857e-06,harding,1940
0.00018400463299439562,hitler,1940
4.0377192193127574e-06,impellitteri,1940
9.613617188839895e-07,jerome,1940
1.92272343776798e-07,kellogg,1940
7.690893751071919e-07,kennedy s,1940
5.768170313303939e-07,koch,1940
4.0184919849350776e-05,korea,1940
1.4612698127036646e-05,korean,1940
9.613617188839895e-07,lansing,1940
7.921620563604076e-05,lehman,1940
0.00010151979751414931,mayor o,1940
0.00010132752517037252,mayor o dwyer,1940
5.768170313303939e-07,mellon,1940
4.5568545475101125e-05,new deal,1940
3.84544687553596e-07,nra,1940
0.00020957685471670976,o dwyer,1940
1.92272343776798e-07,odell,1940
0.0001511260622085632,opa,1940
0.00025533767253558767,palestine,1940
4.806808594419949e-06,palestinian,1940
1.92272343776798e-07,pittsburg,1940
1.92272343776798e-07,platt,1940
1.92272343776798e-07,pres,1940
9.613617188839895e-07,president coolidge,1940
2.3072681253215754e-06,president ford,1940
2.6918128128751715e-06,president hoover,1940
1.92272343776798e-07,president kennedy,1940
4.8452630631753086e-05,president roosevelt s,1940
5.768170313303939e-07,president wilson,1940
0.0002745649069132675,red army,1940
0.0002168832037802281,reich,1940
3.3070843129609254e-05,reparation,1940
3.845446875535959e-06,seabury,1940
1.92272343776798e-07,teuton,1940
2.8840851566519697e-06,thaw,1940
3.268629844205565e-06,trench,1940
1.038270656394709e-05,trolley,1940
2.3072681253215754e-06,vanderbilt,1940
3.0763575004287675e-06,villa,1940
9.613617188839895e-07,whitman,1940
0.00013882063220684813,willkie,1940
1.92272343776798e-06,wilson s,1940
1.0574978907723887e-05,wpa,1940
2.0907830547051296e-06,axis,1960
2.5089396656461557e-06,byrnes,1960
9.199445440702569e-06,capt,1960
7.3177406914679516e-06,carey,1960
2.2998613601756427e-06,carter,1960
2.0907830547051297e-07,carter s,1960
2.0907830547051297e-07,cio,1960
0.00010662993578996159,conf,1960
0.00030086368157206816,congo,1960
4.1815661094102594e-07,coolidge,1960
9.408523746173083e-06,dulles,1960
0.00026176603844908216,eisenhower,1960
1.7980734270464114e-05,eisenhower s,1960
1.6726264437641037e-06,gould,1960
1.2544698328230776e-06,harding,1960
4.8088010258217975e-06,hitler,1960
0.00012126541717289752,illus,1960
8.363132218820519e-07,impellitteri,1960
