frequency,word,year
1.0465718308419792e-05,-,1920
0.00017442863847366323,11,1920
2.0521016291019204e-07,2000,1920
8.167364483825643e-05,29,1920
0.00016026913723285997,9,1920
6.382036066506972e-05,accident,1920
0.00021978008447681567,according,1920
4.104203258203841e-07,acheson,1920
0.0003119194476234919,act,1920
0.0004128828477753064,action,1920
6.977145538946528e-06,ad,1920
4.90452289355359e-05,add,1920
8.269969565280739e-05,advance,1920
8.208406516407682e-07,aeroplane,1920
1.8468914661917287e-06,afghan,1920
3.550135818346322e-05,age,1920
3.4270097206002066e-05,agency,1920
0.000412472427449486,aid,1920
6.874540457491433e-05,aim,1920
1.436471140371344e-06,airline,1920
0.0001083509660165814,airplane,1920
1.0260508145509599e-06,algerian,1920
9.008726151757429e-05,allied,1920
0.0001387220701272898,ally,1920
8.208406516407682e-07,amazon,1920
0.00029981204801179056,america,1920
0.0008255604853877025,american,1920
3.242320573981034e-05,amid,1920
5.7458845614853775e-06,analysis,1920
2.6677321178324964e-06,apple,1920
2.729295166705554e-05,armistice,1920
0.00031828096267370783,army,1920
5.889531675522512e-05,art,1920
4.12472427449486e-05,arthur,1920
1.1902189448791138e-05,artillery,1920
1.2928240263342098e-05,artist,1920
9.850087819689218e-06,asia,1920
2.2778328083031314e-05,assault,1920
0.000107940545690761,associated,1920
0.0001385168599643796,association,1920
6.156304887305761e-07,atomic,1920
0.0003137663390896836,attack,1920
0.00011984273513955215,attorney general,1920
1.9494965476468247e-05,austria,1920
1.2928240263342098e-05,austrian,1920
2.4009589060492472e-05,average,1920
4.986606958717666e-05,aviator,1920
0.00010917180666822216,away,1920
0.0002033632714440003,b,1920
4.4735815514421866e-05,bad,1920
3.139715492525938e-05,badly,1920
1.2312609774611522e-06,ballet,1920
3.714303948674476e-05,baltimore,1920
0.00010260508145509602,bandit,1920
0.0002805222926982325,bank,1920
0.00011286558960060559,banker,1920
3.550135818346322e-05,banking,1920
6.197346919887799e-05,base,1920
3.303883622854092e-05,baseball,1920
0.0001959757055792334,battle,1920
